title,price,currency,area_sqm,location,bedrooms,bathrooms,url
Apartment for sale in sodic Eastown new cairo finished and ready to move,17500000,EGP,217,"Heliopolis, Cairo",4,3,https://www.bayut.eg/en/property/details-502848516.html
apartment for sale in water way 1 prime location high finished specification,33000000,EGP,330,"Heliopolis, Cairo",5,4,https://www.bayut.eg/en/property/details-502715481.html
HOT DEAL Lake View Residence Penthouse Fully Furnished + Private Pool,30000000,EGP,266,"La Vista Gardens, Ain Sukhna, Suez",4,5,https://www.bayut.eg/en/property/details-502852294.html
Resil | The lowest price for a chalet in Scala Heights - Mountain View Ras Al Hikma - Directly on the pool,6210000,EGP,108,"City Gate Compound, 5th Settlement, New Cairo, Cairo",2,2,https://www.bayut.eg/en/property/details-502782941.html
"Villa for sale in Noor City, Q1",15414920,EGP,195,"Lake View Compound, 5th Settlement, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-502852492.html
Apartment for sale 184m fully finished with air conditioning in the compound next to the American University in a prime location in New Cairo AUC apartment fully finished.,5900000,EGP,184,"La Vista Gardens, Ain Sukhna, Suez",3,3,https://www.bayut.eg/en/property/details-502745956.html
Corner chalet with private garden for sale - Faya - Marassi - North Coast,10800000,EGP,67,"Heliopolis, Cairo",1,1,https://www.bayut.eg/en/property/details-502541606.html
Luxury finishing apartment for sale in Marakez - Aeon towers,9500000,EGP,84,"Lake View Residence 2, 5th Settlement, New Cairo, Cairo",1,2,https://www.bayut.eg/en/property/details-502721345.html
SEA VIEW FULLY FINISHED ORASCOM VILLA 0% DP!,23000000,EGP,500,"Fifth Square Compound, 5th Settlement, New Cairo, Cairo",4,4,https://www.bayut.eg/en/property/details-502775405.html
"townhouse , 4 bedrooms + nanny,4 bathrooms , 355 sq m, only 36 million EGP in Arezzo, Marassi ,North Coast",36000000,EGP,355,"South Med, North Coast, Matruh",4,4,https://www.bayut.eg/en/property/details-502809105.html
Under Market Price Modern Finished 4-bedroom Townhouse For Sale in Layan Sabbour – New Cairo - Ready To Move In Fifth Settlement,15000000,EGP,267,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",4,4,https://www.bayut.eg/en/property/details-502774656.html
Fully furnished 2 bedrooms on the beach hurghada,7100000,EGP,102,"La Vista Gardens, Ain Sukhna, Suez",2,1,https://www.bayut.eg/en/property/details-502784562.html
Chalet for sale hacienda bay noarth coast by lowest price lake yard view,12300000,EGP,232,"Noor City, New Capital City, Cairo",3,4,https://www.bayut.eg/en/property/details-502700987.html
Ready-to-Move Duplex with Garden 150 meters in Villette – Next to Mivida Emaar new cairo - fifth settlement,9000000,EGP,291,"Hurghada, Red Sea",4,4,https://www.bayut.eg/en/property/details-502782835.html
LAST LOWEST PRICE DUPLEX IN MAKADI HEIGHTS NEW GOUNA HURGHADA RED SEA SOMABAY !!,11000000,EGP,193,"Garnet Compound, 5th Settlement, New Cairo, Cairo",3,4,https://www.bayut.eg/en/property/details-502270666.html
Furnished Villa For sale 1st row with private beach in Marina 5- (Minister's tongue),125000000,EGP,1700,"Hurghada, Red Sea",6,6,https://www.bayut.eg/en/property/details-502800777.html
Chalet for marina marassi 2 bedrooms pool view lowest price,18000000,EGP,128,"Mesca, Soma Bay, Red Sea",2,2,https://www.bayut.eg/en/property/details-502771424.html
للبيع من المالك قصر مارسيليا بيتش 4 صف اول بحر شامل جميع محتوياته,85000000,EGP,1100,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",11,11,https://www.bayut.eg/en/property/details-202456502.html
Chalet for sale amwaj 2 bedrooms best price in matket,6700000,EGP,93,"Noor City, New Capital City, Cairo",2,1,https://www.bayut.eg/en/property/details-502755227.html
"Resale furnished apartment in La Vista, offered at the lowest price in the market.",12000000,EGP,164,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",3,2,https://www.bayut.eg/en/property/details-502856202.html
"Chalet in Blanca Marassi — 3-bedroom chalet with lake view and steps from the lagoon for 16.5 million! Marassi North Coast, Sidi Abdel Rahman",16500000,EGP,150,"Makadi Heights, Makadi Bay, Red Sea",3,3,https://www.bayut.eg/en/property/details-502843087.html
3-bedroom master apartment with dressing room in front of the airport with a 50% discount on the Suez Road next to Gardenia,6000000,EGP,166,"Amwaj, Sidi Abdel Rahman, North Coast, Matruh",3,2,https://www.bayut.eg/en/property/details-502751259.html
Penthouse for sale 3 bedrooms blanca marassi lagoon view,25000000,EGP,130,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",3,2,https://www.bayut.eg/en/property/details-502642617.html
"Chalet for sale, fully finished with a very special view in the heart of Ain Sokhna | with installment plans over the longest payment period, with no",1620485,EGP,70,"Amwaj, Sidi Abdel Rahman, North Coast, Matruh",1,1,https://www.bayut.eg/en/property/details-502733296.html
Investment Opportunity – Fully Furnished Chalet in Porto Sokhna (Panorama Model,1900000,EGP,100,"Ain Sukhna, Suez",2,2,https://www.bayut.eg/en/property/details-502781008.html
"luxurious serviced apartment, by Marriott International, in a prime location near New Cairo and Fifth Settlement.",8400000,EGP,124,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",3,2,https://www.bayut.eg/en/property/details-502871643.html
"A luxurious hotel suite on the 25th floor overlooking the Nile in Zamalek at the St. Regis Hotel, next to the Fairmont and Four Seasons.",140000000,EGP,300,"Amwaj, Sidi Abdel Rahman, North Coast, Matruh",5,4,https://www.bayut.eg/en/property/details-502868274.html
Fully finished Apartment for Sale in Maadi Gardens Compound Maadi Ring Road - Unique Location,3500000,EGP,147,"Zamalek, Cairo",3,3,https://www.bayut.eg/en/property/details-502614205.html
"For sale, a ground chalet in Marina 4",10200000,EGP,135,"Zamalek, Cairo",3,2,https://www.bayut.eg/en/property/details-502846854.html
ready to move good opportunity Quadro villa for Sale in El Patio 6 Compound- fully furnished ultra super lux,17500000,EGP,210,"Bianchi, Sidi Abdel Rahman, North Coast, Matruh",3,4,https://www.bayut.eg/en/property/details-502683815.html
Apartment for sale 130m Al Mandara (Army Road),6500000,EGP,132,"Maamoura, Alexandria",2,2,https://www.bayut.eg/en/property/details-502170792.html
Last special apartment fully finished with garden in beverly hills,7700000,EGP,158,"Al Narges, 5th Settlement, New Cairo, Cairo",2,3,https://www.bayut.eg/en/property/details-502742378.html
twin house for sale at Marassi Under Market price Overlooking Golf and Lake,36000000,EGP,287,"Maamoura, Alexandria",3,5,https://www.bayut.eg/en/property/details-502761084.html
Hotel apartment best price in Marriott Residence,22200000,EGP,187,"Six West Compound, Sheikh Zayed, Giza",3,2,https://www.bayut.eg/en/property/details-502862351.html
View of the sea and the swimming pool,4500000,EGP,180,"Mountain View 4, 6th of October, Giza",3,2,https://www.bayut.eg/en/property/details-502724772.html
"Apartment for Sale in Compound Tiguane, Wadi Degla | 176m² + 88m² Garden | 3 Bedrooms (1 Master) | 2 Bathrooms + Toilet | EGP 5,700,000 Negotiable",5700000,EGP,176,"One Kattameya, Katameya, Cairo",3,3,https://www.bayut.eg/en/property/details-502686673.html
"Lowest total price for apartment 3bedrooms with installments , lowest down payment north direction finished sea view in mountain view ras el hikma",7570088,EGP,125,"Al Manial, Cairo",3,2,https://www.bayut.eg/en/property/details-502712464.html
"Fully Finished & Furnished, Flexible Payment Plans Available, Ready To Move, Apartment For Sale In Prime Location, Nozha, Cairo",5499999,EGP,150,"Al Manial, Cairo",3,1,https://www.bayut.eg/en/property/details-502860973.html
Own Apartment View Landscape Ready To Move Fully Finished With Very Prime Location At Madinaty Talaat Mostafa,6600000,EGP,116,"Al Narges, 5th Settlement, New Cairo, Cairo",3,2,https://www.bayut.eg/en/property/details-502594808.html
Ready to move apartment in marriott Residence at best price with With the highest ROI,21300000,EGP,170,"Stella Sidi abd elrahman, Sidi Abdel Rahman, North Coast, Matruh",2,2,https://www.bayut.eg/en/property/details-502783363.html
"Apartment with immediate delivery, featuring a 15 m terrace with an open view of the landscape and lakes, next to the International Medical Center in the heart of Al-Shorouk, available for installment.",8500000,EGP,137,"El Banafseg 3, 1st Settlement, New Cairo, Cairo",3,2,https://www.bayut.eg/en/property/details-502742112.html
Apartment Fully Furnished with kitchen appliances and ACs for sale in Uptown Cairo,10500000,EGP,108,"Al Manial, Cairo",1,2,https://www.bayut.eg/en/property/details-502794079.html
Elite Villa RTM with Private Pool and Full Seaview,80478000,EGP,400,"Al Amn Al Aam, 1st Settlement, New Cairo, Cairo",5,4,https://www.bayut.eg/en/property/details-502870464.html
Fullyfinished furnished directly from owner ready in MountainView HydePark NewCairo,21000000,EGP,287,"Swan Lake Residences, 1st Settlement, New Cairo, Cairo",5,4,https://www.bayut.eg/en/property/details-502643480.html
Apartment for sale 170m in installments in front of Easy Sport Club in the third district of Al-Hadabah Al-Muqatam.,2950000,EGP,170,"Stella Sidi abd elrahman, Sidi Abdel Rahman, North Coast, Matruh",3,2,https://www.bayut.eg/en/property/details-203837366.html
With a Prime View Fully Finished and Furnished Apartment for Sale in Cairo Festival City,23000000,EGP,208,"Taj City Compound, 1st Settlement, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-502848778.html
"I have a bargain apartment for sale, 170 square meters, in a prime location in Nasr City, Mohamed El Nady Street",4500000,EGP,170,"Taj City Compound, 1st Settlement, New Cairo, Cairo",3,2,https://www.bayut.eg/en/property/details-502584193.html
Prime Location Furnished Stand Alone with pool For Sale in Kattameya Hills - New Cairo,50000000,EGP,817,"Taj City Compound, 1st Settlement, New Cairo, Cairo",6,5,https://www.bayut.eg/en/property/details-502265288.html
"A studio in Marasi Marina One, with an area of 106 square meters.",14000000,EGP,110,"Gouna, Red Sea",1,1,https://www.bayut.eg/en/property/details-502739246.html
"150m apartment for sale in New Cairo, Fifth Settlement, next to the American University.",6000000,EGP,150,"Marriott Residence, Heliopolis, Cairo",3,2,https://www.bayut.eg/en/property/details-203274742.html
"Apartment of 200 m for sale in Zahraa El Maadi, ultra super lux finish, open view, not obstructed, distinguished location.",5600000,EGP,200,"La Mirada Compound, 5th Settlement, New Cairo, Cairo",3,2,https://www.bayut.eg/en/property/details-502760327.html
Under Market Price Standalone in Bellagio in New Cairo with a Very Prime Location.,59000000,EGP,750,"Cairo Festival City Compound, Katameya, Cairo",8,8,https://www.bayut.eg/en/property/details-502832674.html
duplex smart home with private pool,10000000,EGP,247,"Dyar Compound, 5th Settlement, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-200360331.html
Villa For sale 1480 sqm In Katameya Dunes New Cairo with Golf View,183963000,EGP,1480,"La Mirada Compound, 5th Settlement, New Cairo, Cairo",8,10,https://www.bayut.eg/en/property/details-502842962.html
"Ultra-Luxurious Corner Townhouse (Exactly Like a Twin House) – Phase 1, Westown SODIC West, Sheikh Zayed.",42000000,EGP,374,"Nasr City, Cairo",4,5,https://www.bayut.eg/en/property/details-502847194.html
Apartment for sale 191m in the NEW CAIRO (West Arabella behind the Egyptian Language School),7000000,EGP,191,"New Alamein City, Alamein, North Coast, Matruh",3,2,https://www.bayut.eg/en/property/details-502570215.html
Villa hydepark from owner fully finished jacuzzi 5th settlement ready to move,31500000,EGP,354,"Villette Compound, 5th Settlement, New Cairo, Cairo",7,5,https://www.bayut.eg/en/property/details-502852865.html
Unbeatable Price Studio 74 m phase s1 Fully Finished Ready to Move 1 Bedroom For sale in Sarai Mostakbal Ciity,3450000,EGP,74,"Gouna, Red Sea",1,1,https://www.bayut.eg/en/property/details-502870664.html
"For sale at a drastically reduced price, the lowest price: a furnished 3-bedroom chalet with a special view of the sea and swimming pool in Mountain V",9800000,EGP,113,"Al Narges, 5th Settlement, New Cairo, Cairo",3,2,https://www.bayut.eg/en/property/details-502851471.html
Apartment for sale with a sea view,9000000,EGP,290,"Villette Compound, 5th Settlement, New Cairo, Cairo",3,2,https://www.bayut.eg/en/property/details-502864174.html
Apartment for sale in madianty by installments fully finished,14419317,EGP,141,"Lake View Compound, 5th Settlement, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-502848577.html
Hotel style apartment special price in Marriott,10620000,EGP,123,"Marriott Residence, Heliopolis, Cairo",2,3,https://www.bayut.eg/en/property/details-502840846.html
"Fully finished Apartment 200 m² ,for Sale in Compound Grand Cesar - New Cairo ,Prime location, Natural Gas",6900000,EGP,200,"90 Avenue Compound, 5th Settlement, New Cairo, Cairo",3,2,https://www.bayut.eg/en/property/details-502658538.html
"Apartment for Sale in Maadi | 250m² | 1st Floor | 3 Bedrooms Including Master | 2 Bathrooms + Guest Toilet | Spacious Layout | EGP 13,000,000",13000000,EGP,250,"Al Narges, 5th Settlement, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-502660938.html
"For sale, a villa in the Al-Wan compound, 1000 meters",39000000,EGP,1000,"Laurent, Alexandria",6,5,https://www.bayut.eg/en/property/details-502806998.html
Villa for sale in al burouj el sherouk super lux and ready to move,24000000,EGP,239,"90 Avenue Compound, 5th Settlement, New Cairo, Cairo",4,5,https://www.bayut.eg/en/property/details-502730331.html
prime villa resale rtm best location lowest price,16200000,EGP,185,"Saada Compound, 1st Settlement, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-502857610.html
Furnished Chalet For sale In Marassi North Coast with Canal Views,15000000,EGP,75,"90 Avenue Compound, 5th Settlement, New Cairo, Cairo",1,1,https://www.bayut.eg/en/property/details-502853121.html
Code LKs8 Apartment for sale in lake view,12500000,EGP,144,"South Med, North Coast, Matruh",2,2,https://www.bayut.eg/en/property/details-502721143.html
Villa for sale in hyde park ready to move by lowest price,26000000,EGP,280,"Azzar Compound, 5th Settlement, New Cairo, Cairo",5,4,https://www.bayut.eg/en/property/details-502688976.html
"Furnished apartment, second number from the northern ninety, ultra super lux in Fifth Settlement, Al-Banfsaj, buildings.",6900000,EGP,200,"90 Avenue Compound, 5th Settlement, New Cairo, Cairo",3,2,https://www.bayut.eg/en/property/details-502840231.html
Standalone Villa for Sale Fully Furnished with Private Pool Ready to Move in Hyde Park New Cairo,42000000,EGP,480,"90 Avenue Compound, 5th Settlement, New Cairo, Cairo",5,7,https://www.bayut.eg/en/property/details-502828048.html
"apartment for sale, 185 m, in New Nozha, super deluxe, main street",5800000,EGP,185,"Palm Hills New Cairo Compound, 5th Settlement, New Cairo, Cairo",3,2,https://www.bayut.eg/en/property/details-502709947.html
"VIP LUXURY hotel apartment by ST REGIS, panoramic view, on an island in the heart of the Nile, ready with all amenities.",120000000,EGP,250,"Palm Hills New Cairo Compound, 5th Settlement, New Cairo, Cairo",3,2,https://www.bayut.eg/en/property/details-502830560.html
"Furnished Ground Floor Apartment for Sale in Maadi Degla | 3 Bedrooms | 2 Bathrooms + Guest Toilet | Balcony | Elegant Finishing | EGP 13,000,000",13000000,EGP,220,"Glim, Alexandria",3,3,https://www.bayut.eg/en/property/details-502662724.html
Villa For Sale 325 SQM Fully Finished In New Giza 6th Of October Own Now !,23700000,EGP,325,"Madinaty, Cairo",4,5,https://www.bayut.eg/en/property/details-502847541.html
Villa mivida resale from owner fully finished withACs ready to move,37000000,EGP,315,"Porto Sokhna, Ain Sukhna, Suez",5,4,https://www.bayut.eg/en/property/details-502856610.html
Twin house villa for sale with sea view prime location fully finished to a super deluxe standard in Stella Heights North Coast Sidi Abdel Rahman,9500000,EGP,245,"Palm Hills New Cairo Compound, 5th Settlement, New Cairo, Cairo",3,4,https://www.bayut.eg/en/property/details-502855685.html
Ready to move apartment in marriott Residence at best price with With the highest ROI,21300000,EGP,170,"5th Settlement, New Cairo, Cairo",2,2,https://www.bayut.eg/en/property/details-502872271.html
"I own a 78 square meter apartment in Madinaty with hotel-quality finishing, furnished and equipped, in area B12, immediate delivery.",4750000,EGP,78,"Azzar Compound, 5th Settlement, New Cairo, Cairo",2,2,https://www.bayut.eg/en/property/details-502838001.html
"For quick sale, an iVilla 270 sqm in Mountain View iCity October — The Lake Phase One of the most prime phases – prime location North-facing – premium",8785000,EGP,270,"Zamalek, Cairo",4,5,https://www.bayut.eg/en/property/details-502851476.html
i villa roof garden fo sale very prime location-Mountain view 1.1,21120000,EGP,240,"Zamalek, Cairo",3,3,https://www.bayut.eg/en/property/details-502808818.html
"Ready-to-move luxury hotel suite first row on Nile Corniche in Zamalek, fully finished and furnished with AC and appliances, installments up to 6 year",80000000,EGP,250,"Bianchi, Sidi Abdel Rahman, North Coast, Matruh",2,3,https://www.bayut.eg/en/property/details-502817120.html
Villa for Sale in Madinaty – 4 Bedrooms – Fully Furnished – Exceptional Location,40000000,EGP,270,"Azzar Compound, 5th Settlement, New Cairo, Cairo",4,4,https://www.bayut.eg/en/property/details-502848514.html
"Royal Suite VIP at the St. Regis on the Nile in Zamalek, ready for occupancy, fully furnished and equipped with world-class hotel services.",14000000,EGP,300,"Azzar Compound, 5th Settlement, New Cairo, Cairo",4,3,https://www.bayut.eg/en/property/details-502873636.html
Fully finished corner villa for sale in La Nuova Vista Compound – Misr Italia,37000000,EGP,418,"Villas for Sale in New Cairo, Villas for Sale in 1st Settlement, Villas for Sale in La Nouva Vista Compound",3,4,https://www.bayut.eg/en/property/details-502714856.html
"Lowest down payment , installments apartment finished with acs 3bedrooms lowest price in compound palm hills new cairo fifth settlement",11410046,EGP,158,"Al Manial, Cairo",3,3,https://www.bayut.eg/en/property/details-502874125.html
I own a premium apartment in Al Forsan Buildings at a fantastic price.,10500000,EGP,300,"Fifth Square Compound, 5th Settlement, New Cairo, Cairo",5,3,https://www.bayut.eg/en/property/details-502866358.html
"240m Ultra Modern Finishing & Furnished, Adjacent To Heliopolis Club, Apartment For Sale In Heliopolis, Cairo",15749999,EGP,240,"Acacia Compound, 5th Settlement, New Cairo, Cairo",3,2,https://www.bayut.eg/en/property/details-502860944.html
For sale at the lowest price: a penthouse with a direct sea view and a stunning view of the swimming pool in Mountain View Ras El Hekma.,10500000,EGP,113,"Penthouses for Sale in North Coast, Penthouses for Sale in Ras Al Hekma, Penthouses for Sale in Mountain View Ras Al Hekma",3,2,https://www.bayut.eg/en/property/details-502756898.html
Elite Villa Standalone 1475 M First Row Golf High End Finishing At Great Price Very prime Location For Sale in Katameya Dunes Compound 5th settlement,200000000,EGP,1475,"Rehab City, New Cairo, Cairo",7,7,https://www.bayut.eg/en/property/details-502861621.html
Ground floor chalet with garden for sale in Marina 6,11500000,EGP,115,"Zamalek, Cairo",3,2,https://www.bayut.eg/en/property/details-502808241.html
"Apartment for sale 212 m in MASR ELGDIDA (Almaza, Omar Ibn Al Khattab Street) super deluxe",12150000,EGP,212,"Mountain View Ras Al Hekma, Ras Al Hekma, North Coast, Matruh",3,2,https://www.bayut.eg/en/property/details-502561325.html
OWN white villa with only 50% DP and installments|1000m,35500000,EGP,1000,"Mountain View 1.1, 5th Settlement, New Cairo, Cairo",5,5,https://www.bayut.eg/en/property/details-502872918.html
Apartment For Sale Super Lux Ready To Move In Uptown Cairo Mokkatam Emaar,14350000,EGP,135,"Mountain View 1.1, 5th Settlement, New Cairo, Cairo",2,2,https://www.bayut.eg/en/property/details-502571903.html
Town House for sale ) in Hyde Park Private pool Ultra super lux Kitchen with appliances & Acs,24000000,EGP,230,"Villette Compound, 5th Settlement, New Cairo, Cairo",4,3,https://www.bayut.eg/en/property/details-502844548.html
"Fully finished apartment for sale in Waterway, directly opposite the AUC on South 90th Street.",19000000,EGP,177,"Taj City Compound, 1st Settlement, New Cairo, Cairo",3,2,https://www.bayut.eg/en/property/details-502031569.html
"Distinct luxury villa for sale inside the finest compound in Sheikh Zayed, Beverly Hills Compound Sodic.",39500000,EGP,700,"Taj City Compound, 1st Settlement, New Cairo, Cairo",4,4,https://www.bayut.eg/en/property/details-502824050.html
"Duplex for sale, Ready to move, 270 m, in (Ashrafiya Compound)",10000000,EGP,270,"Mountain View Ras Al Hekma, Ras Al Hekma, North Coast, Matruh",4,3,https://www.bayut.eg/en/property/details-502592729.html
Furnished Chalet For sale In Marassi North Coast directly on Pool,27675000,EGP,175,"Taj City Compound, 1st Settlement, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-502839077.html
"For sale, a first-floor chalet in Fouka Bay, with a sea view and a pool view, at the lowest price in the market.",11900000,EGP,130,"Hacienda Bay, Sidi Abdel Rahman, North Coast, Matruh",3,2,https://www.bayut.eg/en/property/details-502867683.html
"Resil Villa independent, clear sea view fourth row from the sea, furnished in Mountain View Ras Al Hikma.",18000000,EGP,245,"Katameya Dunes Compound, 5th Settlement, New Cairo, Cairo",5,4,https://www.bayut.eg/en/property/details-502727369.html
"Standalone villa (standalone) for sale in Mountain View Ras El Hekma Compound – Phase 2, fully furnished and equipped, immediate delivery, sea view",18000000,EGP,245,"Heliopolis, Cairo",5,5,https://www.bayut.eg/en/property/details-502869685.html
"Apartment for sale, 165m, prime location in MASR ELGDIDA (Ammar Ibn Yasser)",4500000,EGP,165,"Mountain View Ras Al Hekma, Ras Al Hekma, North Coast, Matruh",2,1,https://www.bayut.eg/en/property/details-502592102.html
Under Market Price in Marina:2Bed Direct on Marina - Seaview - Near beach - Marassi -Emaar,17000000,EGP,91,"Allegria, Sheikh Zayed, Giza",2,1,https://www.bayut.eg/en/property/details-502862337.html
"Apartment 460 meters on the Nile in Manial, 4 suites with private bathroom and separate dressing room",60000000,EGP,460,"Gouna, Red Sea",4,4,https://www.bayut.eg/en/property/details-502844399.html
"For cash sale in Madinaty – B7, fully furnished with appliances Super Lux finishing – Prime location steps from the services",4000000,EGP,60,"Mountain View Ras Al Hekma, Ras Al Hekma, North Coast, Matruh",2,1,https://www.bayut.eg/en/property/details-502869682.html
Under Market Price Fully finished and Furnished Apartment for Sale in Uptown Cairo,9942500,EGP,108,"Uptown Cairo, Mokattam, Cairo",2,1,https://www.bayut.eg/en/property/details-502866414.html
finished acs resale apartment rtm prime location,18700000,EGP,188,"The Waterway Compound, 5th Settlement, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-502857722.html
Apartment for sale 240m in Nasr City (Hassanin Abdel Qader Al Ahly Club)2018 buildings,7700000,EGP,240,"Cairo Festival City Compound, Katameya, Cairo",3,2,https://www.bayut.eg/en/property/details-502590351.html
Penthouse Fully furnished for sale in marassi,23000000,EGP,231,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",3,2,https://www.bayut.eg/en/property/details-502739872.html
"Villa for sale, Ready To Move with Garden Fully Finished and Furnished in Azha Sokhna - Ain El Sokhna",14000000,EGP,150,"The Waterway Compound, 5th Settlement, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-502866319.html
"penthouse 266m ready to move prime direct view overlooking lagoon fully finished and fully furnished, in Lake View Residence 1, Fifth Settlement",30000000,EGP,266,"Ain Sukhna, Suez",3,3,https://www.bayut.eg/en/property/details-502842835.html
Lowest price town house classic ready to move 4bedrooms in best location in compound hyde park fifth settlement,22000000,EGP,270,"The Mornings, New Cairo, Cairo",4,4,https://www.bayut.eg/en/property/details-502843092.html
under market !! last chalet resale direct lagoon finished with acs lowest down payment 125m,9278000,EGP,125,"The Waterway Compound, 5th Settlement, New Cairo, Cairo",2,2,https://www.bayut.eg/en/property/details-502858041.html
Distinct villa for sale in Madinaty model (F) with special finishes on a wide garden facing north at a very attractive price.,37000000,EGP,360,"Mountain View Ras Al Hekma, Ras Al Hekma, North Coast, Matruh",5,5,https://www.bayut.eg/en/property/details-502868737.html
"Distinctive duplex for sale, 145 m, in the Fifth Settlement (Porto New Cairo Compound), super deluxe",9500000,EGP,145,"Madinaty, Cairo",2,3,https://www.bayut.eg/en/property/details-502716102.html
"partment With Roof for sale, 250m + 200m roof, in MASR ELGDIDA (Main Al-Hijaz Street) Buildings 2013",10000000,EGP,250,"Village Gate Compound, 5th Settlement, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-502562173.html
"Furnished hotel apartment for sale, ready to move in, with a breathtaking view directly on the Nile Corniche - ready for viewing. Unrivaled location",9300000,EGP,62,"Madinaty, Cairo",1,1,https://www.bayut.eg/en/property/details-502857846.html
"Apartment for sale in Al Mostakbal, furnished or unfurnished, third floor, high-end finishing",2700000,EGP,70,"The Waterway Compound, 5th Settlement, New Cairo, Cairo",2,1,https://www.bayut.eg/en/property/details-502722092.html
apartment for sale in sun capital compound 164m ready to move,5000000,EGP,164,"Ain Sukhna, Suez",3,3,https://www.bayut.eg/en/property/details-501391979.html
apartment for sale Nasr City a nice strategic location in Abbas Al-Akkad Buildings 2020,5650000,EGP,165,"Cairo Festival City Compound, Katameya, Cairo",3,3,https://www.bayut.eg/en/property/details-502602054.html
"Duplex for sale, Fully Finished and Furnished Greenery View Corner unit Ready To Move in Uptown Cairo - Mokattam",24167625,EGP,310,"Nasr City, Cairo",3,3,https://www.bayut.eg/en/property/details-502846793.html
"Furnished apartment for sale, first row directly on the Nile, finished with furniture and appliances, on the Maadi Corniche, minutes from Zamalek.",5544000,EGP,72,"Ain Sukhna, Suez",1,1,https://www.bayut.eg/en/property/details-502864386.html
Ready To Move Luxury Serviced Ground Chalet - Prime Location – Creek El Gouna,25000000,EGP,123,"Nasr City, Cairo",3,3,https://www.bayut.eg/en/property/details-502833835.html
"Down payment 6,000,000 own standalone villa in fifth settlement ready to move finished with acs view landscape in al marasem fifth square new cairo",62000000,EGP,520,"Rhodes North Coast, North Coast, Matruh",6,6,https://www.bayut.eg/en/property/details-502850046.html
"For sale at a drastically reduced price, the lowest price: a finished and furnished penthouse with a special view of the sea and swimming pool in Moun",10500000,EGP,113,"Telal East, 5th Settlement, New Cairo, Cairo",3,2,https://www.bayut.eg/en/property/details-502848689.html
chalet ready to move fully finished fully furnished pool view in gaia north coast,7725000,EGP,120,"Garden Lakes, 6th of October, Giza",2,2,https://www.bayut.eg/en/property/details-502848242.html
Unique Townhouse in Prime Location full sea and lagoon view | Ready to Move,28500000,EGP,130,"Taj City Compound, 1st Settlement, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-502848606.html
"S villa for sale in Sarai Soor with Madinaty, with equal installments over 12 years. Prime location, very distinctive view.",16000000,EGP,239,"5th Settlement, New Cairo, Cairo",5,3,https://www.bayut.eg/en/property/details-501879620.html
Villa for sale in hurghada only 1500000 le,15000000,EGP,350,"Reve du nil, Maadi, Cairo",4,2,https://www.bayut.eg/en/property/details-502806907.html
"Apartment for sale at a bargain price, less than the company price, NEW CAIRO(Southern Investors)",5200000,EGP,153,"Tawila, Gouna, Red Sea",2,2,https://www.bayut.eg/en/property/details-502578544.html
Fully Finished and Furnished Luxury villa With a Private Pool in Uptown Cairo - New Cairo,33825000,EGP,290,"Garden Lakes, 6th of October, Giza",4,4,https://www.bayut.eg/en/property/details-502776639.html
"VIP luxury hotel suite with an 80-meter frontage overlooking the Nile from all directions, located on the 17th floor, available in installments.",70000000,EGP,430,"Gouna, Red Sea",4,3,https://www.bayut.eg/en/property/details-502778932.html
Villa for Sale in Madinaty Fully finished Private swimming pool,85000000,EGP,615,"Golden Square, 5th Settlement, New Cairo, Cairo",7,5,https://www.bayut.eg/en/property/details-502874431.html
Apartment for sale 133m super delux in NEW CAIRO (Hyde Park)Ready to move,10300000,EGP,133,"Hurghada, Red Sea",2,2,https://www.bayut.eg/en/property/details-502589516.html
Under market price penthouse ready to move finished with Acs 181m roof 120m view landscape in al marasem fifth square new cairo,11600000,EGP,181,"Golden Square, 5th Settlement, New Cairo, Cairo",3,4,https://www.bayut.eg/en/property/details-502846052.html
"Penthouse for sale in Mountain View Ras El Hekma – North Coast, Greek Phase – Rhodes Terrace, direct sea view, fully finished and furnished",10500000,EGP,113,"Makadi Heights, Makadi Bay, Red Sea",3,2,https://www.bayut.eg/en/property/details-502846925.html
Apartment for sale 210m in a prime location in MASR ELGDIDA Roxy Buildings 2015,6800000,EGP,210,"Zamalek, Cairo",3,3,https://www.bayut.eg/en/property/details-502583007.html
Apartment by roof for sale by installments in sodic east,14700000,EGP,328,"Rehab City, New Cairo, Cairo",4,5,https://www.bayut.eg/en/property/details-502720610.html
